id,member_id,visited_at,status,respondent,notes,summary,keywords,images,deleted_at,created_at,updated_at,respondents
36fQQ0cTz_Y4,ym-toyo-12,2026-04-25,unknown_address,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""住所のところに行ったが、アパートで部屋番号がわからない"",""type"":""text""}]}]}",,,,,2026-04-25T06:35:28.787+00:00,2026-04-25T06:35:51.769+00:00,
CZGKa7auM-Y0,ym-toyo-15,2026-04-25,unknown_address,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""住所のところを訪れたけど、秋田さんという家の住所になっていた。"",""type"":""text""}]}]}",,,,,2026-04-25T06:44:44.623+00:00,2026-04-25T06:45:20.871+00:00,
uPtEqJ0RP5vq,ym-toyo-09,2026-04-25,absent,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""立派なマンションです。セキュリティーありそうだったけど、普通に入れた。2階に上がり、205に行ったけども不在でした。"",""type"":""text""}]}]}",,,,,2026-04-25T06:31:58.405+00:00,2026-04-25T09:13:41.528+00:00,
fA6HuYD3W2xf,ym-toyo-08,2026-04-25,met_family,father,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""古びた家。一回間違って右隣の家に入って、左の家ですと言われた。結構古いようなお家で、ピンポン押したら窓からお父さんらしき人が出てきて、その方が何か用を言ってきたので、創価学会の山中ですっていうふうに言ったら、息子さんの回答は濁されて、友達？と聞かれた。男子部の山中と再度伝え、差し入れを渡して帰りました。"",""type"":""text""}]}]}",,,,,2026-04-25T07:13:05.712+00:00,2026-05-02T07:22:41.923+00:00,"[""father""]"
YInvcHHEIcFN,ym-toei-06,2026-04-29,unknown_address,,,,,,,2026-04-29T04:53:01.532+00:00,2026-04-29T04:53:02.083+00:00,
nHRzFgn_88A0,ym-toei-05,2026-04-29,unknown_address,,,,,,,2026-04-29T04:47:02.174+00:00,2026-04-29T04:47:03.891+00:00,
Nr_qswDCjGCV,ym-toyo-01,2026-04-29,moved,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""訪問しましたが、空室の状況でした。"",""type"":""text""}]}]}",,,,,2026-04-29T03:30:40.474+00:00,2026-04-29T03:31:10.957+00:00,
kUA_MyCcF_MR,ym-toei-04,2026-04-29,met_family,father,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""お父様は会ったことがありました。本人に会って気づきました。お父さんとお母さんが対応してくれて、本人は彼女の家にいるという感じで、ここの住所には居ないという形でした。"",""type"":""text""}]}]}",,,,,2026-04-29T07:14:17.568+00:00,2026-04-29T07:18:06.32+00:00,"[""father""]"
HcPuRf3tY_W4,ym-toei-01,2026-04-29,absent,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""一軒家で、車は止まっており、チャイムが壊れていたため挨拶をしたが不在でした。差し入れだけを置いて帰りました。"",""type"":""text""}]}]}",,,,,2026-04-29T07:21:52.667+00:00,2026-04-29T07:22:30.342+00:00,
GWDWX2dExjn6,ym-toei-01,2026-04-29,met_self,,,,,,2026-04-29T07:23:17.772+00:00,2026-04-29T07:22:52.591+00:00,2026-04-29T07:23:17.772+00:00,
E9O0WWyy3euk,ym-toei-08,2026-04-29,met_family,mother,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""塗装の仕事をやられているのですが、今はお仕事がなくて、田んぼの仕事の手伝いを言っているようです。"",""type"":""text""}]}]}",,,,,2026-04-29T04:13:42.234+00:00,2026-04-29T04:14:20.758+00:00,"[""mother""]"
zGOBUEc-H_Hi,ym-toei-03,2026-04-29,unknown_address,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""住所違う可能性あり。202では？"",""type"":""text""}]}]}",,,,,2026-04-29T05:10:03.432+00:00,2026-04-29T05:16:29.702+00:00,
